;;;wall;wall;wall;wall;wall;wall;wall;wall;wall;wall;wall;wall;wall;wall
;;;wall;;;;;;;;;;;;;wall
;;;wall;;;;;IS;;;;;;;;wall
;;;wall;;;;;;;;;;;;;wall
;;;wall;;;;;;;WIN;;;;;;wall
wall;wall;wall;wall;;;;;;;;;;;;;wall
wall;;;;;;;;;;;;;;;;wall
wall;;FLAG;;;;;;flag;;;;;;;;wall
wall;;;;;;;;;;;;;;;;wall
wall;wall;wall;wall;wall;wall;wall;wall;wall;wall;wall;wall;wall;wall;wall;wall;wall
;;;wall;;;;;;;;;;;;;wall
;BABA;;wall;;;;WALL;;;;;;;;;wall
;IS;;wall;;;;IS;;baba;;;;;;;wall
;YOU;;wall;;;;STOP;;;;;;;;;wall
;;;wall;;;;;;;;;;;;;wall
;;;wall;;;;;;;;;;;;;wall
;;;wall;wall;wall;wall;wall;wall;wall;wall;wall;wall;wall;wall;wall;wall
